OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,GNIS_ID,SOURCE,FAC_TYPE,TOT_STAFF,TOT_RES,BEDS,EXC_BEDS,OWNERSHIP,MEDICAIDID,MEDICAREID,STATELICID,SUPFACTYPE
135,11597479,UNCLASSIFIED,THE COURTYARDS AT BERNE VILLAGE,252-633-1779,2701 AMHURST BOULEVARD, ,NEW BERN,NC,28562,4294,CRAVEN,37049, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,767285004,-77.091738,35.1120025,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,55,0, , , ,HAL-025-024,ADULT CARE HOME
136,11597478,UNCLASSIFIED,STERLING HOUSE OF NEW BERN,252-638-6660,1336 SOUTH GLENBURNIE ROAD, ,NEW BERN,NC,28562,2624,CRAVEN,37049, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102411631,-77.0898739,35.1207345,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-025-012,ADULT CARE HOME
137,11597473,UNCLASSIFIED,CAREBRIDGE ASSISTED LIVING COMMUNITY,252-638-4680,2915 BRUNSWICK AVENUE, ,NEW BERN,NC,28562,2601,CRAVEN,37049, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102674505,-77.0892714,35.1220799,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,108,0, , , ,HAL-025-007,ADULT CARE HOME
138,11597465,UNCLASSIFIED,GOLDEN YEARS REST HOME,704-538-8855,630 SUGAR HILL ROAD, ,LAWNDALE,NC,28090,9493,CLEVELAND,37045, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102618309,-81.4664857,35.4312573,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-023-002,ADULT CARE HOME
139,11597464,UNCLASSIFIED,CARILLON ASSISTED LIVING OF SHELBY,704-471-2828,1550 CHARLES ROAD, ,SHELBY,NC,28152,7036,CLEVELAND,37045, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102655137,-81.5698498,35.2695787,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,96,0, , , ,HAL-023-027,ADULT CARE HOME
140,11597461,UNCLASSIFIED,PITTSBORO CHRISTIAN VILLAGE INC,919-542-3151,1825 EAST STREET, ,PITTSBORO,NC,27312,8842,CHATHAM,37037, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,109855823,-79.1463434,35.718436,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,40,0, , , ,HAL-019-006,ADULT CARE HOME
141,11597457,UNCLASSIFIED,CAREVIEW REST HOME,919-742-3832,2701 MOON LINDLEY ROAD, ,SNOW CAMP,NC,27349,9449,CHATHAM,37037, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102512169,-79.3845162,35.8344472,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,20,0, , , ,HAL-019-010,ADULT CARE HOME
142,11597455,UNCLASSIFIED,WALDEN HOUSE,828-322-2230,"427 3RD AVENUE, SE", ,HICKORY,NC,28602,3850,CATAWBA,37035, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,716375714,-81.3307205,35.7277899,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,56,0, , , ,HAL-018-015,ADULT CARE HOME
143,11597454,UNCLASSIFIED,THE ALBERTA HOUSE,828-464-3715,807 4TH ST. SW, ,CONOVER,NC,28613,2638,CATAWBA,37035, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102900553,-81.2294864,35.7037967,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,20,0, , , ,HAL-018-030,ADULT CARE HOME
144,11597453,UNCLASSIFIED,STERLING HOUSE OF HICKORY,828-328-6090,910 29TH AVENUE NE, ,HICKORY,NC,28601,1135,CATAWBA,37035, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,109876776,-81.3128909,35.768795,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-018-011,ADULT CARE HOME
145,11597447,UNCLASSIFIED,CARILLON ASSISTED LIVING OF NEWTON,828-466-7474,1088 RADIO STATION ROAD, ,NEWTON,NC,28658,9478,CATAWBA,37035, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102557022,-81.2382774,35.6637401,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,96,0, , , ,HAL-018-017,ADULT CARE HOME
146,11597443,UNCLASSIFIED,JEFFERSON CARE HOME,336-421-9468,181 STALEY BOSWELL ROAD, ,YANCEYVILLE,NC,27379,8386,CASWELL,37033, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102451892,-79.3889949,36.3046362,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-017-004,ADULT CARE HOME
147,11597442,UNCLASSIFIED,G ANTHONY RUCKER REST HOME,336-694-5360,1196 HODGES DAIRY ROAD, ,YANCEYVILLE,NC,27379,8710,CASWELL,37033, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125439668,-79.4037403,36.4114536,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-017-040,ADULT CARE HOME
148,11597441,UNCLASSIFIED,DOGWOOD FOREST 2,336-421-0646,3814 CHERRY GROVE ROAD, ,ELON COLLEGE,NC,27244,9485,CASWELL,37033, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102931125,-79.4194748,36.3155332,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-017-003,ADULT CARE HOME
149,11597436,UNCLASSIFIED,CAROLINA HOUSE OF MOREHEAD CITY,252-726-4454,107 BRYAN STREET, ,MOREHEAD CITY,NC,28557,2508,CARTERET,37031, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102738297,-76.7985439,34.7287639,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,72,0, , , ,HAL-016-006,ADULT CARE HOME
150,11597435,UNCLASSIFIED,NEEDHAM ADULT CARE HOME,252-336-4344,916 S SANDY HOOK RD, ,SHILOH,NC,27974,7214,CAMDEN,37029, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,108633681,-76.0350753,36.2656534,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,24,0, , , ,HAL-015-002,ADULT CARE HOME
151,11597433,UNCLASSIFIED,GRANDVIEW VILLA ASSISTED LIVING,828-757-0136,2544 GRANDVIEW CIRCLE SW, ,LENOIR,NC,28645,9638,CALDWELL,37027, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,773243893,-81.580217,35.8862456,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,40,0, , , ,HAL-014-015,ADULT CARE HOME
152,11597429,UNCLASSIFIED,MORNINGSIDE OF CONCORD,704-795-1200,"500 PENNY LANE, NE", ,CONCORD,NC,28025,0600,CABARRUS,37025, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,28203145,-80.5946729,35.4459804,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,105,0, , , ,HAL-013-026,ADULT CARE HOME
153,11597426,UNCLASSIFIED,EDEN GARDENS OF CONCORD,704-782-1100,1501 ZION CHURCH RD EAST, ,CONCORD,NC,28025,6827,CABARRUS,37025, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,28206696,-80.5518156,35.3698089,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-013-029,ADULT CARE HOME
154,11597425,UNCLASSIFIED,CONCORD PLACE,704-782-7594,2452 ROCK HILL CHURCH ROAD NW, ,CONCORD,NC,28027,8048,CABARRUS,37025, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,118961420,-80.618173,35.3967226,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,112,0, , , ,HAL-013-019,ADULT CARE HOME
155,11597422,UNCLASSIFIED,CARILLON ASSISTED LIVING OF HARRISBURG,704-455-6226,6200 ROBERTA ROAD, ,HARRISBURG,NC,28075,8418,CABARRUS,37025, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,759484811,-80.647483,35.3296993,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,96,0, , , ,HAL-013-017,ADULT CARE HOME
156,11597421,UNCLASSIFIED,CAREMOOR RETIREMENT CENTER INC,704-938-2927,4876 BOY SCOUT CAMP ROAD, ,KANNAPOLIS,NC,28081,8494,CABARRUS,37025, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,749519279,-80.6705637,35.4873617,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,30,0, , , ,HAL-013-007,ADULT CARE HOME
157,11597413,UNCLASSIFIED,BURKE LONG TERM CARE,828-433-5875,125 CAMELLIA GARDEN STREET, ,MORGANTON,NC,28655,8207,BURKE,37023, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102533591,-81.7331777,35.7502524,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,24,0, , , ,HAL-012-001,ADULT CARE HOME
158,11597406,UNCLASSIFIED,RICHARD A WOOD JR ASSISTED LIVING CENTER,828-274-4800,2360 SWEETEN CREEK ROAD, ,ASHEVILLE,NC,28803,2030,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102941332,-82.5211046,35.5171679,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,56,0, , , ,HAL-011-130,ADULT CARE HOME
159,11597405,UNCLASSIFIED,MARJORIE MCCUNE MEMORIAL CENTER,828-669-8452,101 LIONS WAY, ,BLACK MOUNTAIN,NC,28711,2588,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102569304,-82.3590595,35.6150653,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,64,0, , , ,HAL-011-011,ADULT CARE HOME
160,11597403,UNCLASSIFIED,HEATHER GLEN AT ARDENWOODS,828-684-0041,103 APPALACHIAN BLVD., ,ARDEN,NC,28704,7715,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102611671,-82.5737353,35.451615,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,60,0, , , ,HAL-011-151,ADULT CARE HOME
161,11597400,UNCLASSIFIED,CRESCENT VIEW,828-687-0068,2533 HENDERSONVILLE ROAD, ,ARDEN,NC,28704,8583,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125463266,-82.5111462,35.4556512,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,24,0, , , ,HAL-011-022,ADULT CARE HOME
162,11597399,UNCLASSIFIED,CLARE BRIDGE OF ASHEVILLE,828-687-0155,4 WALDEN RIDGE DRIVE, ,ASHEVILLE,NC,28803,8583,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,716556748,-82.5216249,35.4985143,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,38,0, , , ,HAL-011-035,ADULT CARE HOME
163,11597395,UNCLASSIFIED,BECKY'S REST HOME 2,828-628-1943,316 LOWER BRUSH CREEK ROAD, ,FLETCHER,NC,28732,8484,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125466125,-82.4387939,35.4719448,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,15,0, , , ,HAL-011-003,ADULT CARE HOME
164,11597394,UNCLASSIFIED,BECKY'S REST HOME 1,828-628-3395,316 LOWER BRUSH CREEK ROAD, ,FLETCHER,NC,28732,8484,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125466125,-82.4387939,35.4719448,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,15,0, , , ,HAL-011-002,ADULT CARE HOME
165,11597393,UNCLASSIFIED,ASHEVILLE MANOR,828-684-1982,308 OVERLOOK ROAD, ,ASHEVILLE,NC,28803,3319,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125470532,-82.5382985,35.4845891,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,79,0, , , ,HAL-011-036,ADULT CARE HOME
166,11597392,UNCLASSIFIED,ARBOR TERRACE OF ASHEVILLE,828-681-5533,3199 SWEETEN CREEK ROAD, ,ASHEVILLE,NC,28803,2136,BUNCOMBE,37021, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125465392,-82.5197636,35.4930216,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,70,0, , , ,HAL-011-224,ADULT CARE HOME
167,11597389,UNCLASSIFIED,CARILLON ASSISTED LIVING OF SOUTHPORT,910-454-4001,1125 E LEONARD STREET, ,SOUTHPORT,NC,28461,8316,BRUNSWICK,37019, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,744095921,-78.0103336,33.9418052,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,96,0, , , ,HAL-010-005,ADULT CARE HOME
168,11597383,UNCLASSIFIED,WASHINGTON MANOR,252-946-1701,609 WEST 2ND STREET, ,WASHINGTON,NC,27889,4806,BEAUFORT,37013, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102572996,-77.0619047,35.5463645,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,9,0, , , ,HAL-007-005,ADULT CARE HOME
169,11597382,UNCLASSIFIED,PANTEGO REST HOME,252-944-0075,143 SWAMP ROAD, ,PANTEGO,NC,27860,9412,BEAUFORT,37013, , , , ,, ,1255564800000,AUTO,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102895253,-76.685953,35.6004391,NAVTEQ,2009Q2,APPROXIMATE, , , , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,30,0, , , ,HAL-007-015,ADULT CARE HOME
170,11558901,UNCLASSIFIED,GRACE HEALTHCARE OF DURHAM,919-383-5521,411 SOUTH LASALLE STREET, ,DURHAM,NC,27705,3701,DURHAM,37063, , , , ,1254960000000,PHONE,1254960000000,MANUAL,623110,NURSING HOMES,127924889,-78.947428,36.0134125,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,NURSING FACILITIES,0,0,126,0, , , ,NH0136,NURSING HOME
171,11558992,UNCLASSIFIED,SMITHFIELD MANOR,919-934-3171,902 BERKSHIRE ROAD, ,SMITHFIELD,NC,27577,4731,JOHNSTON,37101, , , , ,1262131200000,ALT REF,1262131200000,MANUAL,623110,NURSING HOMES,127892379,-78.3258658,35.5176522,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,NURSING FACILITIES,0,0,180,0, , , ,NH0182,NURSING HOME
172,11558890,UNCLASSIFIED,LEXINGTON HEALTH CARE CENTER,336-242-1349,17 CORNELIA STREET, ,LEXINGTON,NC,27292,4140,DAVIDSON,37057, , , , ,1253664000000,PHONE,1253664000000,MANUAL,623110,NURSING HOMES,102905624,-80.241098,35.8167718,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,NURSING FACILITIES,0,0,100,0, , , ,NH0527,NURSING HOME
173,11597696,UNCLASSIFIED,ROSE HILL RETIREMENT COMMUNITY,828-652-2504,120 FLEMING AVENUE, ,MARION,NC,28752,3889,MCDOWELL,37111, , , , ,1262736000000,ALT REF,1262736000000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102549212,-82.0080832,35.6884714,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,87,0, , , ,HAL-059-027,ADULT CARE HOME
174,11597717,UNCLASSIFIED,SUNRISE ON PROVIDENCE,704-900-0126,5114 PROVIDENCE ROAD, ,CHARLOTTE,NC,28226,5852,MECKLENBURG,37119, , , , ,1262131200000,ALT REF,1262131200000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,28237430,-80.7877263,35.1435059,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS,HTTP://WWW.SUNRISESENIORLIVING.COM/COMMUNITY/COMMUNITYHOME.DO?FROM_SEARCH=1&COMMID=378, ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,95,0, , , ,HAL-060-057,ADULT CARE HOME
175,11597755,UNCLASSIFIED,PORT SOUTH VILLAGE - LORRAINE B VILLA,910-762-9433,204 COVIL AVENUE, ,WILMINGTON,NC,28403,0711,NEW HANOVER,37129, , , , ,1262131200000,ALT REF,1262131200000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,102767744,-77.9048044,34.2361043,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-065-029,ADULT CARE HOME
176,11597737,UNCLASSIFIED,TARA PLANTATION OF CARTHAGE,910-947-5888,820 MCNEILL STREET, ,CARTHAGE,NC,28327,7502,MOORE,37125, , , , ,1262131200000,ALT REF,1262131200000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,109899397,-79.4206328,35.334155,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,80,0, , , ,HAL-063-011,ADULT CARE HOME
177,11597368,UNCLASSIFIED,PLEASANT GROVE RETIREMENT HOME,336-578-0441,4516 NC HIGHWAY 49, ,BURLINGTON,NC,27217,7818,ALAMANCE,37001, , , , ,1256860800000,ALT REF,1256860800000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125362633,-79.3118172,36.1926897,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-001-008,ADULT CARE HOME
178,11581735,UNCLASSIFIED,LILLIE BENNETT NURSING CENTER,704-695-3303,500 MORVEN ROAD, ,WADESBORO,NC,28170,2745,ANSON,37007, , , , ,1255651200000,PHONE,1255651200000,MANUAL,623110,NURSING HOMES,707559208,-80.0771281,34.9614812,NAVTEQ,2009Q2,ONENTITY,YES,TECHNIGRAPHICS, , ,USDHHS,NURSING FACILITIES,0,0,95,0,OTHER GOVERNMENT, ,345051, ,NURSING HOME
179,11597412,UNCLASSIFIED,SHADYBROOK LIVING CENTER,828-669-8921,1114 MONTREAT ROAD, ,BLACK MOUNTAIN,NC,28711,3232,BUNCOMBE,37021, , , , ,1262217600000,ALT REF,1262217600000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,125462903,-82.3164646,35.6330714,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,49,0, , , ,HAL-011-155,ADULT CARE HOME
180,11597538,UNCLASSIFIED,SHULER HEALTH CARE INCORPORATED - RECORD VILLA,336-996-4427,250 PITTS STREET, ,KERNERSVILLE,NC,27284,2670,FORSYTH,37067, , , , ,1262131200000,ALT REF,1262131200000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,17048237,-80.0679396,36.1319936,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS,HTTP://SHULERHEALTHCARE.COM/COMMUNITY/, ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-034-012,ADULT CARE HOME
181,11597539,UNCLASSIFIED,SHULER HEALTH CARE INCORPORATED - STOREY VILLA,336-996-0772,250 PITTS STREET, ,KERNERSVILLE,NC,27284,2670,FORSYTH,37067, , , , ,1262131200000,ALT REF,1262131200000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,17048237,-80.0685487,36.131557,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS,HTTP://SHULERHEALTHCARE.COM/COMMUNITY/, ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,12,0, , , ,HAL-034-013,ADULT CARE HOME
182,11558928,UNCLASSIFIED,BELAIRE HEALTH CARE CENTER,704-867-7300,2065 LYON STREET, ,GASTONIA,NC,28052,6230,GASTON,37071, , , , ,1262131200000,ALT REF,1262131200000,MANUAL,623110,NURSING HOMES,28225130,-81.2060238,35.2337981,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,NURSING FACILITIES,0,0,100,0, , , ,NH0561,NURSING HOME
183,11597346,UNCLASSIFIED,TERRACE RIDGE,704-865-5556,1251 EAST HUDSON BOULEVARD, ,GASTONIA,NC,28054,6102,GASTON,37071, , , , ,1262131200000,ALT REF,1262131200000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,116009119,-81.1662832,35.2341985,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS, , ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,74,0, , , ,HAL-036-023,ADULT CARE HOME
184,11597589,UNCLASSIFIED,HERITAGE GREENS - ARBORETUM ALZHEIMER'S CARE,336-299-4400,801 MEADOWOOD STREET, ,GREENSBORO,NC,27409,2838,GUILFORD,37081, , , , ,1262217600000,ALT REF,1262217600000,MANUAL,623312,HOMES FOR THE ELDERLY WITHOUT NURSING CARE,17063689,-79.8892755,36.0653016,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS,HTTP://WWW.KISCOSENIORLIVING.COM/COMMUNITIES_HERITAGE_CONTACT.ASP, ,TECHNIGRAPHICS,HOMES FOR THE ELDERLY (ASSISTED LIVING FACILITIES),0,0,48,0, , , ,HAL-041-028,ADULT CARE HOME
185,11558971,UNCLASSIFIED,BEYSTONE HEALTH AND REHABILITATION,828-684-4857,80 BROWNSBERGER CIRCLE, ,FLETCHER,NC,28732,7697,HENDERSON,37089, , , , ,1262563200000,ALT REF,1262563200000,MANUAL,623110,NURSING HOMES,127913766,-82.4874005,35.3979633,NAVTEQ,2009Q2,ONENTITY, ,TECHNIGRAPHICS,HTTP://SANSTONEHEALTHANDREHAB.COM/BEYSTONE/,1024176,TECHNIGRAPHICS,NURSING FACILITIES,0,0,50,0, , , ,NH0394,NURSING HOME
