Facility_Type,Facility_Number,Facility_Name,Licensee,Facility_Administrator,Facility_Telephone Number,Facility_Address,Facility_City,Facility_State,Facility_Zip,County_Name,Regional_Office,Facility_Capacity,Facility_Status,License_First_Date,Closed_Date
RESIDENTIAL CARE ELDERLY,157206736,ALMARIE GUEST HOME LLC,ALMARIE GUEST HOME LLC.,ALICIA MATANGUIHAN,(661) 885-7791,1525 SUGARLEAF RIDGE DR.,BAKERSFIELD,CA,93311,KERN,24,6,LICENSED,10/30/2014,
RESIDENTIAL CARE ELDERLY,565800682,ALMAVIA OF CAMARILLO,"ELDER CARE ALLIANCE OF CAMARILLO, ECA",MATTHEW HATHWAY,(805) 388-5277,2500 NORTH PONDEROSA DRIVE,CAMARILLO,CA,93010,VENTURA,31,100,LICENSED,11/2/2001,
RESIDENTIAL CARE ELDERLY,216801868,ALMAVIA OF SAN RAFAEL,ELDER CARE ALL. OF SAN RAFAEL/ELDER CARE ALLIANCE,JOHN BELTZ,(415) 491-1900,515 NORTHGATE DRIVE,SAN RAFAEL,CA,94903,MARIN,21,160,LICENSED,4/28/2006,
RESIDENTIAL CARE ELDERLY,486803431,ALMOGELA'S BOARD AND CARE HOME,"ALMOGELA,GAYLORD B. & ZENAIDA B.","ALMOGELA, ZENAIDA B.",(707) 704-3713,406 MEADOWS DRIVE,VALLEJO,CA,94589,SOLANO,21,6,LICENSED,6/20/2013,
RESIDENTIAL CARE ELDERLY,347003129,ALMOND AVENUE RESIDENCE CLUB,"ALMOND AVENUE RESIDENCE CLUB, INC.",KATHY HORBASCH,(916) 988-7506,6135 ALMOND AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,27,78,LICENSED,2/8/2005,
RESIDENTIAL CARE ELDERLY,45002224,ALMOND BLOSSOM SENIOR CARE,"DRAGONFLY, INC.","RAMOS, EDUVIJES",(530) 342-1813,1036 BLACKMUIR COURT,CHICO,CA,95926,BUTTE,25,6,LICENSED,5/14/2009,
RESIDENTIAL CARE ELDERLY,45002503,ALMOND BLOSSOM SENIOR CARE-BIDWELL HEIGHTS,"DRAGONFLY, INC.","CARTWRIGHT, KATHERINE",(530) 864-2324,1 BUDLEE COURT,CHICO,CA,95928,BUTTE,25,6,LICENSED,11/1/2013,
RESIDENTIAL CARE ELDERLY,45002627,ALMOND BLOSSOM SENIOR CARE BIDWELL HEIGHTS II,DRAGONFLY INC,"WILLIAMS, CORY",(530) 864-2324,5 BUDLEE COURT,CHICO,CA,95928,BUTTE,25,6,LICENSED,5/29/2018,
RESIDENTIAL CARE ELDERLY,317005671,ALMOND GARDENS,CHATEAU SENIOR LIVING,WILMA ALVAREZ,(530) 885-5678,174 ALMOND STREET,AUBURN,CA,95603,PLACER,27,10,LICENSED,9/2/2015,
RESIDENTIAL CARE ELDERLY,315002296,ALMOND GARDENS ELDER CARE,"ALMOND GARDENS ELDER CARE, INC.","SLUSE, JANE",(530) 885-5678,174 ALMOND STREET,AUBURN,CA,95603,PLACER,27,10,CLOSED,1/29/2010,9/2/2015
RESIDENTIAL CARE ELDERLY,347005535,ALMOND HEIGHTS,GREENBACK OPERATIONS LLC; MSL COMMUNITY MGMT LLC,"AGUAIR-NYGARD, TERRI",(916) 542-7988,8685 GREENBACK LN,ORANGEVALE,CA,95662,SACRAMENTO,27,145,CLOSED,9/21/2015,3/29/2019
RESIDENTIAL CARE ELDERLY,342700525,ALMOND HEIGHTS,ALMOND HEIGHTS MSL LLC;MSL COMMUNITY MGMT LLC,"AGUIAR, TERRI",(916) 542-7988,8685 GREENBACK LN,ORANGEVALE,CA,95662,SACRAMENTO,27,145,LICENSED,3/29/2019,
RESIDENTIAL CARE ELDERLY,347005369,ALMOND HOME CARE,EDIVINE INC.,"ROMENA, ANGELINA",(916) 817-1668,6701 ALMOND AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,27,6,LICENSED,12/24/2014,
RESIDENTIAL CARE ELDERLY,15601365,ALMOND ROAD SENIOR ESTATES,"ALMOND ROAD SENIOR ESTATES, LLC","RUSU, OLIVIA",(510) 886-0341,17635 ALMOND ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,15,6,LICENSED,4/4/2008,
RESIDENTIAL CARE ELDERLY,197608634,ALMUNDO'S HOME CARE,"ALMUNDO'S HOME, LLC",EXALDO TOPACIO,(661) 436-0955,44354 LIVELY AVENUE,LANCASTER,CA,93536,LOS ANGELES,31,4,LICENSED,9/9/2014,
RESIDENTIAL CARE ELDERLY,347005155,ALOHA ASSISTED LIVING,"DULAY, GRACE F. AND RICK A.",GRACE F. DULAY,(916) 502-5057,7816 TIGERWOODS DRIVE,SACRAMENTO,CA,95829,SACRAMENTO,27,4,LICENSED,6/12/2013,
RESIDENTIAL CARE ELDERLY,197603041,ALOHA CARE HOME RCFE,JUDY V. GUERRERO,JUDY V. GUERRERO,(661) 254-0412,25694 DORADO DR,VALENCIA,CA,91355,LOS ANGELES,31,6,LICENSED,11/3/2000,
RESIDENTIAL CARE ELDERLY,306004345,ALOHA GARDENS,ALOHA GARDENS,RYAN FISK,(949) 916-1830,24362 AUGUSTIN STREET,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,5/8/2012,
RESIDENTIAL CARE ELDERLY,306005560,ALOHA GARDENS 2,ALOHA GARDENS,"FISK, RYAN",(949) 916-1830,24351 REGINA ST,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,3/15/2019,
RESIDENTIAL CARE ELDERLY,336427423,ALOHA HOME CARE,ALOHA HOME CARE LLC,"MARTINEZ, IARISH CHRISTIAN",(951) 672-9441,34150 PAMPLONA AVE,MURRIETA,CA,92563,RIVERSIDE,18,6,LICENSED,9/29/2016,
RESIDENTIAL CARE ELDERLY,331880515,ALOHA HOME CARE II,ALOHA HOME CARE LLC,"MARTINEZ, IARISH",(951) 506-3838,39890 SOUTH CREEK CIRCLE,MURRIETA,CA,92563,RIVERSIDE,18,6,LICENSED,9/19/2018,
RESIDENTIAL CARE ELDERLY,331880836,ALOHA HOME CARE III,ALOHA HOME CARE LLC,"MARTINEZ, IARISH CHRISTIAN",(951) 760-2345,39869 SOUTH CREEK CIRCLE,MURRIETA,CA,92563,RIVERSIDE,18,6,PENDING,,
RESIDENTIAL CARE ELDERLY,336424231,"ALOHA HOME CARE II, INC.","ALOHA HOME CARE II, INC.",EDMONDANTE RAZON,(760) 548-0032,31318 NEUMA DR,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,6,LICENSED,11/18/2011,
RESIDENTIAL CARE ELDERLY,336410656,"ALOHA HOME CARE, INC.","ALOHA HOME CARE, INC.",EDMONDANTE RAZON,(760) 770-5233,31286 NEUMA DRIVE,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,6,LICENSED,9/22/2005,
RESIDENTIAL CARE ELDERLY,525001919,ALOHA HOUSE,"OHANA RESIDENTIAL CARE, INC.","TIPPETTS, BARBARA",(530) 529-1052,13765 LISA WAY,RED BLUFF,CA,96080,TEHAMA,25,6,LICENSED,6/18/2007,
RESIDENTIAL CARE ELDERLY,347005417,"ALOHA MANOR, INC.","ALOHA MANOR, INC.","MARINAS, MAVERICK",(916) 476-3622,9847 LINCOLN VILLAGE DRIVE,SACRAMENTO,CA,95827,SACRAMENTO,27,6,CLOSED,8/4/2014,11/5/2016
RESIDENTIAL CARE ELDERLY,197609070,ALOHA NORTHRIDGE,ALOHA NORTHRIDGE,"STRUVE, JING",(818) 349-3011,17029 ROMAR ST,NORTHRIDGE,CA,91325,LOS ANGELES,31,6,LICENSED,5/31/2017,
RESIDENTIAL CARE ELDERLY,366409064,"ALOHA PLACE II, THE",ALLEN DOMINGO,ALLEN DOMINGO,(909) 796-8305,11512 PEMBROKE ST,LOMA LINDA,CA,92354,SAN BERNARDINO,18,6,CLOSED,1/31/2005,11/1/2015
RESIDENTIAL CARE ELDERLY,366408649,ALOHA PRIVATE HOME CARE,"VENDIOLA, HEIDI","VENDIOLA, HEIDI C.",(909) 796-6965,24944 TULIP AVENUE,LOMA LINDA,CA,92354,SAN BERNARDINO,18,6,LICENSED,7/16/2004,
RESIDENTIAL CARE ELDERLY,361880863,ALOHA RESIDENTIAL CARE,ALOHA RESIDENTIAL CARE LLC,"KHAN, ASMAT",(951) 675-7781,7476 BANGALOW WAY,RANCHO CUCAMONGA,CA,91739,SAN BERNARDINO,18,6,PENDING,,
RESIDENTIAL CARE ELDERLY,191593461,ALONDRA GUEST HOME,"BALBERAN, TERESITA F.",VILLAFLORES JAIME,(562) 863-7630,11849 ALONDRA BLVD.,NORWALK,CA,90650,LOS ANGELES,28,6,CLOSED,11/27/1991,9/14/2017
RESIDENTIAL CARE ELDERLY,198602557,ALONDRA GUEST HOME,"BALBERAN, JOSEPH GREGORY","VILLAFLORES, LOURDES",(562) 863-7630,11849 ALONDRA BLVD,NORWALK,CA,90650,LOS ANGELES,28,6,LICENSED,9/15/2017,
RESIDENTIAL CARE ELDERLY,198600210,ALONDRA MANOR HOME,"ALONDRA MANOR, INC.","TOLENTINO, FLORENCE",(714) 228-1098,15203 ALONDRA BLVD.,LA MIRADA,CA,90638,LOS ANGELES,28,6,CLOSED,4/4/2003,4/28/2017
RESIDENTIAL CARE ELDERLY,198602532,ALONDRA MANOR HOME,ALONDRA MANOR HOME INC,"REYES, ADA",(714) 228-1098,15203 ALONDRA BLVD,LA MIRADA,CA,90638,LOS ANGELES,28,6,LICENSED,4/28/2017,
RESIDENTIAL CARE ELDERLY,331880858,ALONDRA RESIDENTIAL CARE FACILITY,T7 LLC,"TUMALIUAN, MARIA DIANA",(951) 500-0981,40534 ALONDRA DRIVE,MURRIETA,CA,92562,RIVERSIDE,18,6,LICENSED,12/3/2019,
RESIDENTIAL CARE ELDERLY,197608877,"ALORA'S HOME CARE, INC.","ALORA'S HOME CARE, INC.",EVANGELINE DE MATA,(661) 296-3244,22833 FRISCA DRIVE,VALENCIA,CA,91354,LOS ANGELES,31,6,LICENSED,12/31/2015,
RESIDENTIAL CARE ELDERLY,197609836,ALORA'S VILLA,"ALORA'S VILLA, INC.","DE MATA, EVANGELINE",(818) 634-9860,25043 GREEN MILL AVE,SANTA CLARITA,CA,91321,LOS ANGELES,31,6,LICENSED,10/16/2019,
RESIDENTIAL CARE ELDERLY,336426357,ALOYSIUS RCFE,"ALOYSIUS RCFE, LLC","BARNES, JEROME",(951) 487-7055,1482 CONRAD PL,SAN JACINTO,CA,92583,RIVERSIDE,18,6,CLOSED,,7/9/2015
RESIDENTIAL CARE ELDERLY,306004516,ALPER'S CARE HOME,"ALPER'S CARE HOME, LLC",ALPER OZDEMIR,(714) 539-3735,12192 MAGNOLIA STREET,GARDEN GROVE,CA,92841,ORANGE,22,6,LICENSED,1/11/2013,
RESIDENTIAL CARE ELDERLY,331880751,ALPHA HOME CARE,DOUBLELYNN CORP.,"TORSKE, JODI",(951) 237-6878,25346 ALPHA STREET,MORENO VALLEY,CA,92557,RIVERSIDE,18,6,LICENSED,9/20/2019,
RESIDENTIAL CARE ELDERLY,79200584,ALPHA HOME CARE FOR SENIORS,"SUPNET, ALETA E","SUPNET, ALETA E",(925) 642-1303,1680 OBSERVATION WAY,ANTIOCH,CA,94531,CONTRA COSTA,15,6,LICENSED,3/16/2017,
RESIDENTIAL CARE ELDERLY,198602412,ALPHA SENIOR LIVING,ALPHA SENIOR LIVING LLC,"MEHTA, KAVISH",(310) 483-6965,2125 EAST 4TH STREET,LONG BEACH,CA,90814,LOS ANGELES,28,34,CLOSED,,8/25/2017
RESIDENTIAL CARE ELDERLY,361880860,ALPHALIFE HOMECARE,SKYMANSION CORPORATION,"SALDIVAR, BRYANT J",(909) 601-5154,9154 BELLFAST ROAD,APPLE VALLEY,CA,92308,SAN BERNARDINO,18,12,LICENSED,11/22/2019,
RESIDENTIAL CARE ELDERLY,331880807,ALPHALIFE HOMECARE,SKYMANSION CORPORATION,"SALDIVAR, BRYANT J.",(909) 601-5154,9154 BELLFAST ROAD,APPLE VALLEY,CA,92308,RIVERSIDE,18,12,PENDING,,
RESIDENTIAL CARE ELDERLY,306002440,ALPINE B,"BAHA, KHADIJA (HEIDI)","BAHA, KHADIJA (HEIDI)",(949) 380-3010,24606 SATURNA,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,3/14/2005,
RESIDENTIAL CARE ELDERLY,306004524,ALPINE B II CARE,"ALPINE B II, INC.","KAHDIJAHEIDI""BAHA""",(949) 454-8349,26352 PAPAGAYO DRIVE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,5/31/2013,
RESIDENTIAL CARE ELDERLY,336423960,ALPINE CARE ASSISTED LIVING,ILMA LEESON,ILMA R. LEESON,(951) 479-5404,6562 GOLD DUST STREET,CORONA,CA,92880,RIVERSIDE,18,6,LICENSED,6/23/2009,
RESIDENTIAL CARE ELDERLY,374603636,ALPINE HILLS RCFE,"AROMIN, KRISHA B.",KRISHA AROMIN,(619) 722-6167,916 ARNOLD WAY,ALPINE,CA,91901,SAN DIEGO,8,6,CLOSED,8/21/2015,3/30/2017
RESIDENTIAL CARE ELDERLY,306000194,ALPINE HOMES,"VILLANUEVA, SOCORRO O.","VILLANUEVA, SOCORRO O.",(714) 968-9688,17982 LOS TIEMPOS,FOUNTAIN VALLEY,CA,92708,ORANGE,22,6,CLOSED,6/9/1995,3/23/2018
RESIDENTIAL CARE ELDERLY,306005364,ALPINE RESIDENCE,ALPINE RESIDENCE LLC,"VILLANUEVA SABINO, SOCORRO",(714) 785-9994,17982 LOS TIEMPOS ST,FOUNTAIN VALLEY,CA,92708,ORANGE,22,6,LICENSED,3/23/2018,
RESIDENTIAL CARE ELDERLY,374600694,"ALPINE VIEW LODGE - DBA CIOFFI ENT.,INC.","CIOFFI ENTERPRISES, INC.",LINDA CIOFFI,(619) 445-5291,973 ARNOLD WAY,ALPINE,CA,91901,SAN DIEGO,8,38,LICENSED,11/4/1998,
RESIDENTIAL CARE ELDERLY,366410686,ALTA LOMA BOARD AND CARE,ALTA LOMA BOARD AND CARE INC,G CAYANAN/F CAYANAN,(909) 941-8459,6368 MOONSTONE AVE,RANCHO CUCAMONGA,CA,91701,SAN BERNARDINO,18,6,LICENSED,3/9/2006,
RESIDENTIAL CARE ELDERLY,361880570,ALTA LOMA GARDENS RESIDENTIAL CARE #1,"STARK LIFE INDUSTRIES, LLC","STARK PLEITEZ, ANA",(818) 922-5427,6896 HELLMAN AVE,RANCHO CUCAMONGA,CA,91701,SAN BERNARDINO,18,6,LICENSED,4/2/2019,
RESIDENTIAL CARE ELDERLY,198603003,ALTA LOMA GARDENS RESIDENTIAL CARE #2,"STARK LIFE INDUSTRIES, LLC","STARK PLEITEZ, ANA M",(818) 922-5427,1667 WOODBEND DR,CLAREMONT,CA,91711,LOS ANGELES,28,6,LICENSED,7/23/2019,
RESIDENTIAL CARE ELDERLY,317005549,ALTA MANOR,EDGEWOOD CARE INC./JERRY ERWIN ASSOC. INC,"HARMS, STEVEN",(916) 774-0200,930 OAK RIDGE DRIVE,ROSEVILLE,CA,95661,PLACER,23,108,PENDING,,
RESIDENTIAL CARE ELDERLY,315002156,ALTA MANOR,"EDGEWOODCARE, INC/JERRY ERWIN ASSOCIATES, INC",ROBERT GODFREY,(916) 774-0200,930 OAK RIDGE DRIVE,ROSEVILLE,CA,95661,PLACER,27,108,CLOSED,12/8/2008,2/29/2016
RESIDENTIAL CARE ELDERLY,336425022,ALTA MURRIETA ASSISTED LIVING,"DY CASTELAR INVESTMENTS, LLC",RUBY DY,(951) 304-9515,40052 DAPHNE DRIVE,MURRIETA,CA,92563,RIVERSIDE,18,6,CLOSED,10/26/2010,9/15/2018
RESIDENTIAL CARE ELDERLY,361880845,ALTA RANCHO CARE HOME,"ALTA RANCHO CARE HOME, INC.","RODRIGUEZ, DIANA E.",(909) 652-1413,10466 HAMILTON STREET,RANCHO CUCAMONGA,CA,91701,SAN BERNARDINO,18,5,PENDING,,
RESIDENTIAL CARE ELDERLY,374601835,ALTA VIEW MANOR,"CALIBUYOT, ARMANDO A. & ELENA M.",ELENA M. CALIBUYOT,(760) 745-4479,1727 TOBACCO ROAD,ESCONDIDO,CA,92026,SAN DIEGO,8,6,LICENSED,6/24/2004,
RESIDENTIAL CARE ELDERLY,197606482,ALTA VISTA,"ABOUT AGAPE, INC",MARY M. ESPARRAGO,(818) 399-6894,1700 CHEVY KNOLL DRIVE,GLENDALE,CA,91206,LOS ANGELES,28,6,LICENSED,1/17/2006,
RESIDENTIAL CARE ELDERLY,191801981,ALTA VISTA GARDENS,"ALTA VISTA GARDENS, INC.",KONSTANTIN GOLDENBERG,(323) 937-1940,829 N. ALTA VISTA BOULEVARD,LOS ANGELES,CA,90046,LOS ANGELES,31,70,CLOSED,5/4/1993,12/1/2015
RESIDENTIAL CARE ELDERLY,197608200,ALTA VISTA GARDENS,"ALTA VISTA GARDENS, INC.",STACI MARMERSHTEYN,(323) 937-1940,829 NORTH ALTA VISTA BLVD.,LOS ANGELES,CA,90046,LOS ANGELES,31,70,LICENSED,12/1/2015,
RESIDENTIAL CARE ELDERLY,374601228,ALTA VISTA MANOR,"WILSON, JOHN",ANNA WILSON,(760) 522-2008,625 MARAZON LANE,VISTA,CA,92083,SAN DIEGO,8,15,LICENSED,4/24/2002,
RESIDENTIAL CARE ELDERLY,197606977,ALTA VISTA RCFE II,"ABOUT AGAPE, INC.",MARY M. ESPARRAGO,(818) 281-3234,1204 N. LOUISE STREET,GLENDALE,CA,91207,LOS ANGELES,28,6,LICENSED,4/16/2007,
RESIDENTIAL CARE ELDERLY,374602906,ALTA VISTA SENIOR LIVING,ISL LEASING LLC; PACIFICA SENIOR LIVING MGMT LLC,DAVID ALSPACH,(760) 941-3233,2041 W VISTA WAY,VISTA,CA,92083,SAN DIEGO,8,98,CLOSED,9/1/2009,10/10/2019
RESIDENTIAL CARE ELDERLY,374604176,ALTA VISTA SENIOR LIVING,PACIFICA REGENCY PALMS LLC; PACIFIA SNR LVG MGMT,"ALSPACH, DAVID",(760) 941-3233,2041 W VISTA WAY,VISTA,CA,92083,SAN DIEGO,8,98,LICENSED,10/10/2019,
RESIDENTIAL CARE ELDERLY,565801650,ALTA VISTA SIMI ASSISTED LIVING I,"CARRY ON, INC.",VICTORIA NORTON REDLIN,(805) 208-2345,2624 RUDOLPH DRIVE,SIMI VALLEY,CA,93065,VENTURA,31,6,LICENSED,8/4/2009,
RESIDENTIAL CARE ELDERLY,197609948,"ALTA VISTA SIMI, LLC","ALTA VIST AIMI, LLC","SIAPNO, EMILIANO",(760) 613-6480,2624 RUDOLPH DRIVE,SIMI VALLEY,CA,93065,LOS ANGELES,31,6,PENDING,,
RESIDENTIAL CARE ELDERLY,198320044,ALTERNATIVE RESIDENTIAL CARE,ALTERNATIVE RESIDENTIAL CARE OF SOUTHBAY INC,"MCNAMARA, MINDY",(310) 418-5328,2653 W 225TH STREET,TORRANCE,CA,90505,LOS ANGELES,11,6,LICENSED,10/14/2019,
RESIDENTIAL CARE ELDERLY,198205261,ALTERNATIVE RESIDENTIAL HOME,"ALTERNATIVE RESIDENTIAL HOMES, INC.",JOSEFINA RIVERS,(310) 641-7272,2653 W. 225TH STREET,TORRANCE,CA,90505,LOS ANGELES,11,6,CLOSED,3/5/2007,10/14/2019
RESIDENTIAL CARE ELDERLY,306002869,ALTERNATIVE SENIOR CARE - FRESHWATER,"ALTERNATIVE SENIOR CARE, INC.",MARIA EMETERIO,(714) 847-9918,18072 FRESHWATER,HUNTINGTON BEACH,CA,92648,ORANGE,22,6,LICENSED,4/25/2005,
RESIDENTIAL CARE ELDERLY,306002870,ALTERNATIVE SENIOR CARE - HOLLYDALE,"ALTERNATIVE SENIOR CARE, INC.",GENEANE PASCHAL,(714) 519-3927,1013 N. HOLLYDALE,FULLERTON,CA,92831,ORANGE,22,6,CLOSED,4/21/2005,6/20/2019
RESIDENTIAL CARE ELDERLY,306003590,ALTERNATIVE SENIOR CARE - LINCOLN,"ALTERNATIVE SENIOR CARE, INC.",JEFFERY PASCHAL,(714) 912-4929,825 N. LINCOLN,ORANGE,CA,92867,ORANGE,22,6,CLOSED,1/15/2007,9/30/2019
RESIDENTIAL CARE ELDERLY,306002940,ALTERNATIVE SENIOR CARE - MANITOBA,"ALTERNATIVE SENIOR CARE, INC.",MARIA CHERRY EMETERIO-PARU,(714) 375-1875,18422 MANITOBA,HUNTINGTON BEACH,CA,92648,ORANGE,22,6,CLOSED,5/27/2005,12/21/2017
RESIDENTIAL CARE ELDERLY,306003558,ALTERNATIVE SENIOR CARE - MEDORA,"ALTERNATIVE SENIOR CARE, INC.",TONYA CAMPO,(657) 464-9388,17207 BUTTONWOOD STREET,FOUNTAIN VALLEY,CA,92708,ORANGE,22,6,CLOSED,10/12/2006,12/21/2017
RESIDENTIAL CARE ELDERLY,306003072,ALTERNATIVE SENIOR CARE - SANTA YSABEL,"ALTERNATIVE SENIOR CARE, INC.",GENEANE PASCHAL,(714) 770-0222,2609 SANTA YSABEL,FULLERTON,CA,92831,ORANGE,22,6,CLOSED,12/15/2005,6/5/2018
RESIDENTIAL CARE ELDERLY,306002868,ALTERNATIVE SENIOR CARE - SHASTA,"ALTERNATIVE SENIOR CARE, INC.",MARIA EMETERIO,(714) 622-5118,15332 SHASTA LANE,HUNTINGTON BEACH,CA,92647,ORANGE,22,6,CLOSED,5/27/2005,11/13/2018
RESIDENTIAL CARE ELDERLY,306002604,ALTERNATIVE SENIOR CARE - SUGAR,"ALTERNATIVE SENIOR CARE, INC.",TONYA CAMPO,(714) 901-1862,7736 SUGAR DRIVE,HUNTINGTON BEACH,CA,92647,ORANGE,22,6,LICENSED,4/25/2005,
RESIDENTIAL CARE ELDERLY,306003458,ALTERNATIVE SENIOR CARE - TAYLOR,"ALTERNATIVE SENIOR CARE, INC.",JOSE UMANA,(714) 465-2842,7752 TAYLOR,HUNTINGTON BEACH,CA,92648,ORANGE,22,6,CLOSED,6/13/2006,3/23/2016
RESIDENTIAL CARE ELDERLY,306003504,ALTERNATIVE SENIOR CARE - VERNON,"ALTERNATIVE SENIOR CARE, INC.",LAWRENCE LINDSEY,(657) 218-4680,16419 VERNON STREET,FOUNTAIN VALLEY,CA,92708,ORANGE,22,6,CLOSED,9/20/2006,7/7/2015
RESIDENTIAL CARE ELDERLY,496800549,ALVAREZ FAMILY HOME,"ALVAREZ, CHARLENE",CHARLENE ALVAREZ,(707) 545-6464,2185 FLORAL WAY,SANTA ROSA,CA,95403,SONOMA,21,6,LICENSED,3/30/1998,
RESIDENTIAL CARE ELDERLY,374603585,ALVIN'S HOMECARE,"BULAORO, JOHN ALLEN",JOHN BULAORO,(760) 990-4694,724 DRIFTWOOD LANE,FALLBROOK,CA,92028,SAN DIEGO,8,6,LICENSED,12/12/2014,
RESIDENTIAL CARE ELDERLY,435202252,ALVIN PLACE CARE HOME,ROSALINDA BARTOLOME,ROSALINDA BARTOLOME,(408) 649-6688,678 HIGH GLEN DR.,SAN JOSE,CA,95133,SANTA CLARA,26,6,CLOSED,3/31/2011,3/2/2018
RESIDENTIAL CARE ELDERLY,198601947,ALWAYS CARE RCFE,"ALWAYS CARE RCFE, INC.",HANG M. DANG,(310) 212-0125,1306 W. 214TH STREET,TORRANCE,CA,90501,LOS ANGELES,11,6,CLOSED,8/5/2015,10/4/2018
RESIDENTIAL CARE ELDERLY,198205228,"ALWAYS CARE RESIDENTIAL HOME, INC.","ALWAYS CARE RESIDENTIAL HOME, INC.",FERNANDO ABRAHAM,(310) 212-0125,1306 WEST 214TH STREET,TORRANCE,CA,90501,LOS ANGELES,11,6,CLOSED,3/17/2007,8/5/2015
RESIDENTIAL CARE ELDERLY,317005184,"ALWAYS IN HIS ARMS, LLC.","ALWAYS IN HIS ARMS, LLC.","JAMES, PRES T.",(916) 872-1119,4270 CAVITT STALLMAN RD.,GRANITE BAY,CA,95746,PLACER,27,4,CLOSED,8/14/2013,12/30/2016
RESIDENTIAL CARE ELDERLY,115001712,ALWAYS LOVING CARE,"BETITA, MARS","BETITA, LORENA",(530) 865-7001,1202 WALNUT STREET,ORLAND,CA,95963,GLENN,25,6,LICENSED,2/23/2006,
RESIDENTIAL CARE ELDERLY,115002160,ALWAYS LOVING CARE II,"BETITA, MARS","BETITA, LORENA",(530) 865-1514,201 GUILFORD CIRCLE,ORLAND,CA,95963,GLENN,25,6,LICENSED,1/30/2009,
RESIDENTIAL CARE ELDERLY,315001593,ALWAYS QUALITY CARE,"ALEXA, MARYANNA","ALEXA, MARYANNA",(916) 539-0308,3870 DIAMOND COURT,ROCKLIN,CA,95677,PLACER,27,6,LICENSED,10/14/2005,
RESIDENTIAL CARE ELDERLY,415600808,ALWAYS TLC,TOMAS L. CONSUNJI & CHRISTINE L. CONSUNJI,"CONSUNJI, TOMAS",(650) 345-1441,226 SANDPIPER COURT,FOSTER CITY,CA,94404,SAN MATEO,14,6,LICENSED,8/4/2010,
RESIDENTIAL CARE ELDERLY,374603208,ALYCHRIS SENIOR BOARD AND CARE,"BANTING, CONSUELO","BANTING, CONSUELO",(858) 935-9037,8536 MENKAR ROAD,SAN DIEGO,CA,92126,SAN DIEGO,8,6,LICENSED,11/15/2011,
RESIDENTIAL CARE ELDERLY,415600693,AM RESIDENTIAL CARE HOME,"HERITAGE RESIDENTIAL CARE, INC.","DELA CRUZ, ANA/MONEL, DAN",(650) 348-8212,1000 BALBOA AVENUE,BURLINGAME,CA,94010,SAN MATEO,14,6,LICENSED,10/27/2006,
RESIDENTIAL CARE ELDERLY,30317773,AMADOR RESIDENTIAL CARE FACILITY,"AMADOR RESIDENTIAL CARE INC.,",SHERI KIMBRO,(209) 223-4444,155 PLACER DRIVE,JACKSON,CA,95642,AMADOR,27,49,LICENSED,8/25/1993,
RESIDENTIAL CARE ELDERLY,198603088,AMALFI LIVING INC,AMALFI LIVING INC,"REBOGIO-CINCO, TINA",(310) 525-8552,22620 MADISON ST,TORRANCE,CA,90505,LOS ANGELES,11,6,LICENSED,4/16/2019,
RESIDENTIAL CARE ELDERLY,425801497,AMALIA'S RESIDENCE,"PRICE, DEXTER",DEXTER PRICE,(805) 922-5475,1002 GUNNER STREET,SANTA MARIA,CA,93458,SANTA BARBARA,29,6,LICENSED,10/17/2007,
RESIDENTIAL CARE ELDERLY,425801823,AMALIA'S RESIDENCE II,DEXTER PRICE,DEXTER PRICE,(805) 287-9630,1206 KENSINGTON AVENUE,SANTA MARIA,CA,93454,SANTA BARBARA,29,6,LICENSED,10/5/2012,
RESIDENTIAL CARE ELDERLY,306004798,AMANA SENIOR LIVING,"PARADISE HOME AND GARDEN, INC.",RAFAEL/JOSEPHINE TEEHANKEE,(949) 616-9380,26232 AVENIDA CALIDAD,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,7/14/2015,
RESIDENTIAL CARE ELDERLY,198603175,AMANDA RESIDENTIAL VILLA,"MARALIT RESIDENTIAL VILLA, INCORPORATED","MARALIT, TERESITA",(626) 454-0677,1312 E MOUNTAIN VIEW AVE,GLENDORA,CA,91741,LOS ANGELES,28,6,LICENSED,10/31/2019,
RESIDENTIAL CARE ELDERLY,347003996,AMANG'S HOME,"GARCIA, EDWIN","GARCIA, EDWIN",(916) 726-4041,7401 MAR VISTA WAY,CITRUS HEIGHTS,CA,95621,SACRAMENTO,27,6,LICENSED,2/24/2009,
RESIDENTIAL CARE ELDERLY,486803791,AMANI HOMES,AMANI HOMES LLC,"KAMAU, JOSEPHINE",(951) 742-1850,1455 MARSHALL RD,VACAVILLE,CA,95687,SOLANO,21,4,CLOSED,,1/2/2019
